p,min1,max1,min2,max2,min3,max3,name1,name2,name3
0.010469239,10,13,12,13,21,21,TrafficSpeed High,Weather Data winddir,AQI Data NO2
0.010469239,10,13,12,23,21,21,TrafficSpeed High,Weather Data winddir,AQI Data NO2
0.010469239,21,38,12,23,105,105,TrafficSpeed Low,Weather Data winddir,AQI Data NO2
0.010469239,11,13,12,23,123,123,TrafficSpeed High,Weather Data winddir,AQI Data NO2
0.010427529,24,24,12,13,19,19,TrafficSpeed Car,Weather Data winddir,AQI Data PM25
0.010427529,24,24,22,23,19,19,TrafficSpeed Car,Weather Data winddir,AQI Data PM25
0.010427529,24,24,12,23,19,19,TrafficSpeed Car,Weather Data winddir,AQI Data PM25
0.010427529,15,45,12,23,65,65,TrafficSpeed Low,Weather Data winddir,AQI Data NO2
0.010427529,24,44,12,23,65,65,TrafficSpeed Middle,Weather Data winddir,AQI Data NO2
0.010394943,14,44,20,43,59,59,TrafficSpeed Low,Weather Data temperature,AQI Data NO2
0.010385819,24,25,12,23,0.4,0.4,TrafficSpeed Car,Weather Data winddir,AQI Data SO2
0.010385819,14,45,8,93,5,6,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010385819,14,45,8,66,5,6,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010385819,14,45,93,93,5,6,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010385819,14,45,24,66,5,6,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010385819,14,45,66,66,5,6,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010385819,14,45,43,43,5,6,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010385819,14,45,24,24,5,6,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010385819,19,19,13,13,17,17,TrafficSpeed Low,Weather Data winddir,AQI Data NO2
0.010385819,19,19,12,13,17,17,TrafficSpeed Low,Weather Data winddir,AQI Data NO2
0.010385819,19,19,12,23,17,17,TrafficSpeed Low,Weather Data winddir,AQI Data NO2
0.010385819,19,32,24,66,22,22,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010385819,19,32,66,66,22,22,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010385819,19,32,43,43,22,22,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010385819,19,32,24,24,22,22,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010385819,24,43,12,23,45,45,TrafficSpeed Middle,Weather Data winddir,AQI Data NO2
0.010385819,15,32,12,23,55,55,TrafficSpeed Car,Weather Data winddir,AQI Data NO2
0.010344108,20,32,12,23,0.4,0.4,TrafficSpeed Low,Weather Data winddir,AQI Data SO2
0.010344108,3,17,12,23,1,1,TrafficSpeed High,Weather Data winddir,AQI Data SO2
0.010344108,27,43,20,23,3.1,3.1,TrafficSpeed Middle,Weather Data temperature,AQI Data SO2
0.010344108,36,39,13,13,13,13,TrafficSpeed Middle,Weather Data winddir,AQI Data NO2
0.010344108,36,39,12,13,13,13,TrafficSpeed Middle,Weather Data winddir,AQI Data NO2
0.010344108,36,39,12,23,13,13,TrafficSpeed Middle,Weather Data winddir,AQI Data NO2
0.010344108,5,15,12,13,19,21,TrafficSpeed High,Weather Data winddir,AQI Data PM25
0.010344108,5,15,22,23,19,21,TrafficSpeed High,Weather Data winddir,AQI Data PM25
0.010344108,5,15,12,23,19,21,TrafficSpeed High,Weather Data winddir,AQI Data PM25
0.010344108,24,43,12,23,47,47,TrafficSpeed Middle,Weather Data winddir,AQI Data NO2
0.010344108,15,33,12,23,51,51,TrafficSpeed Car,Weather Data winddir,AQI Data NO2
0.010344108,40,41,12,23,93,93,TrafficSpeed Car,Weather Data winddir,AQI Data NO2
0.010344108,40,41,12,23,95,95,TrafficSpeed Car,Weather Data winddir,AQI Data NO2
0.010344108,27,42,12,23,101,101,TrafficSpeed Middle,Weather Data winddir,AQI Data NO2
0.010344108,35,36,12,23,131,131,TrafficSpeed Middle,Weather Data winddir,AQI Data NO2
0.010329771,14,45,8,8,5,6,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010329771,4,18,8,8,8,9,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010329771,4,17,8,8,6,11,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010329771,15,54,8,8,13,13,TrafficSpeed Car,Weather Data windspeed,AQI Data CO
0.010329771,15,44,8,8,13,13,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010329771,4,17,8,8,13,13,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010329771,19,32,8,8,22,22,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010302398,18,36,12,23,0.7,0.7,TrafficSpeed Car,Weather Data winddir,AQI Data SO2
0.010302398,14,48,12,23,1,1,TrafficSpeed Low,Weather Data winddir,AQI Data SO2
0.010302398,15,46,8,93,7,7,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010302398,15,46,8,66,7,7,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010302398,15,46,93,93,7,7,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010302398,15,46,24,66,7,7,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010302398,15,46,66,66,7,7,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010302398,15,46,43,43,7,7,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010302398,15,46,8,8,7,7,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010302398,15,46,24,24,7,7,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010302398,19,33,12,13,19,19,TrafficSpeed Low,Weather Data winddir,AQI Data PM25
0.010302398,19,33,22,23,19,19,TrafficSpeed Low,Weather Data winddir,AQI Data PM25
0.010302398,19,33,12,23,19,19,TrafficSpeed Low,Weather Data winddir,AQI Data PM25
0.010302398,28,42,24,66,24,24,TrafficSpeed Middle,Weather Data windspeed,AQI Data CO
0.010302398,28,42,66,66,24,24,TrafficSpeed Middle,Weather Data windspeed,AQI Data CO
0.010302398,28,42,43,43,24,24,TrafficSpeed Middle,Weather Data windspeed,AQI Data CO
0.010302398,28,42,8,8,24,24,TrafficSpeed Middle,Weather Data windspeed,AQI Data CO
0.010302398,28,42,24,24,24,24,TrafficSpeed Middle,Weather Data windspeed,AQI Data CO
0.010302398,24,43,12,23,49,49,TrafficSpeed Middle,Weather Data winddir,AQI Data NO2
0.010302398,15,45,12,23,67,67,TrafficSpeed Low,Weather Data winddir,AQI Data NO2
0.010302398,24,44,12,23,67,67,TrafficSpeed Middle,Weather Data winddir,AQI Data NO2
0.010302398,4,15,12,23,99,99,TrafficSpeed High,Weather Data winddir,AQI Data NO2
0.010302398,11,12,12,23,117,125,TrafficSpeed High,Weather Data winddir,AQI Data NO2
0.010297185,14,45,12,23,5,6,TrafficSpeed Low,Weather Data winddir,AQI Data CO
0.010297185,15,46,12,23,7,7,TrafficSpeed Low,Weather Data winddir,AQI Data CO
0.010297185,4,17,25,44,7,7,TrafficSpeed High,Weather Data temperature,AQI Data CO
0.010297185,4,18,12,23,8,9,TrafficSpeed High,Weather Data winddir,AQI Data CO
0.010297185,4,17,12,23,6,11,TrafficSpeed High,Weather Data winddir,AQI Data CO
0.010297185,15,54,12,23,13,13,TrafficSpeed Car,Weather Data winddir,AQI Data CO
0.010297185,15,44,12,23,13,13,TrafficSpeed Low,Weather Data winddir,AQI Data CO
0.010297185,4,17,12,23,13,13,TrafficSpeed High,Weather Data winddir,AQI Data CO
0.010297185,19,32,12,23,22,22,TrafficSpeed Low,Weather Data winddir,AQI Data CO
0.010260688,8,13,12,13,9,10,TrafficSpeed High,Weather Data winddir,AQI Data PM25
0.010260688,8,13,22,23,9,10,TrafficSpeed High,Weather Data winddir,AQI Data PM25
0.010260688,8,13,12,23,9,10,TrafficSpeed High,Weather Data winddir,AQI Data PM25
0.010260688,19,32,12,13,21,21,TrafficSpeed Low,Weather Data winddir,AQI Data PM25
0.010260688,19,32,22,23,21,21,TrafficSpeed Low,Weather Data winddir,AQI Data PM25
0.010260688,19,32,12,23,21,21,TrafficSpeed Low,Weather Data winddir,AQI Data PM25
0.010260688,6,16,12,23,29,29,TrafficSpeed High,Weather Data winddir,AQI Data NO2
0.010260688,15,33,12,23,47,47,TrafficSpeed Car,Weather Data winddir,AQI Data NO2
0.010260688,25,44,12,23,53,53,TrafficSpeed Middle,Weather Data winddir,AQI Data NO2
0.010260688,16,49,12,23,79,79,TrafficSpeed Car,Weather Data winddir,AQI Data NO2
0.010260688,16,47,12,23,83,83,TrafficSpeed Low,Weather Data winddir,AQI Data NO2
0.010260688,25,42,12,23,93,93,TrafficSpeed Middle,Weather Data winddir,AQI Data NO2
0.010260688,24,24,12,23,103,103,TrafficSpeed Car,Weather Data winddir,AQI Data NO2
0.010260688,22,36,12,23,109,109,TrafficSpeed Low,Weather Data winddir,AQI Data NO2
0.010260688,23,35,12,23,111,111,TrafficSpeed Low,Weather Data winddir,AQI Data NO2
0.010260688,8,14,12,23,113,113,TrafficSpeed High,Weather Data winddir,AQI Data NO2
0.010260688,30,40,12,23,117,117,TrafficSpeed Middle,Weather Data winddir,AQI Data NO2
0.010260688,32,39,12,23,123,123,TrafficSpeed Middle,Weather Data winddir,AQI Data NO2
0.010232013,19,29,20,21,5.2,5.2,TrafficSpeed Low,Weather Data temperature,AQI Data SO2
0.010232013,7,13,20,21,5.2,5.2,TrafficSpeed High,Weather Data temperature,AQI Data SO2
0.010232013,29,41,20,21,5.5,5.5,TrafficSpeed Middle,Weather Data temperature,AQI Data SO2
0.010232013,8,13,20,21,5.5,5.5,TrafficSpeed High,Weather Data temperature,AQI Data SO2
0.010232013,8,13,20,21,5.8,5.8,TrafficSpeed High,Weather Data temperature,AQI Data SO2
0.010232013,4,17,9,74,6,7,TrafficSpeed High,Weather Data humidity,AQI Data CO
0.010232013,8,13,20,20,9,10,TrafficSpeed High,Weather Data temperature,AQI Data PM25
0.010218978,16,43,12,23,1,1.1,TrafficSpeed Low,Weather Data winddir,AQI Data SO2
0.010218978,15,47,12,23,1.3,1.3,TrafficSpeed Low,Weather Data winddir,AQI Data SO2
0.010218978,5,17,20,23,3.1,3.1,TrafficSpeed High,Weather Data temperature,AQI Data SO2
0.010218978,5,17,20,23,3.4,3.4,TrafficSpeed High,Weather Data temperature,AQI Data SO2
0.010218978,5,17,29,40,3.4,3.4,TrafficSpeed High,Weather Data temperature,AQI Data SO2
0.010218978,5,17,13,72,3.4,3.4,TrafficSpeed High,Weather Data humidity,AQI Data SO2
0.010218978,5,17,8,93,3.4,3.4,TrafficSpeed High,Weather Data windspeed,AQI Data SO2
0.010218978,22,22,20,21,5.2,5.2,TrafficSpeed Car,Weather Data temperature,AQI Data SO2
0.010218978,38,39,12,13,7,7,TrafficSpeed Middle,Weather Data winddir,AQI Data PM10
0.010218978,38,39,22,23,7,7,TrafficSpeed Middle,Weather Data winddir,AQI Data PM10
0.010218978,14,45,8,93,8,9,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010218978,14,45,8,66,8,9,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010218978,14,45,93,93,8,9,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010218978,14,45,24,66,8,9,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010218978,14,45,66,66,8,9,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010218978,14,45,43,43,8,9,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
