p,min1,max1,min2,max2,name1,name2
0.01000391,46,51,21,60,AQI Data PM10,Weather Data humidity
0.01000391,47,51,21,61,AQI Data PM10,Weather Data humidity
0.01000391,48,51,20,61,AQI Data PM10,Weather Data humidity
0.01000391,50,51,19,61,AQI Data PM10,Weather Data humidity
0.01000391,50,53,19,56,AQI Data PM10,Weather Data humidity
0.010264599,53,53,19,63,AQI Data PM10,Weather Data humidity
0.010232013,59,61,19,64,AQI Data PM10,Weather Data humidity
0.010069082,63,63,19,64,AQI Data PM10,Weather Data humidity
0.01000391,65,65,17,66,AQI Data PM10,Weather Data humidity
0.010069082,67,67,16,70,AQI Data PM10,Weather Data humidity
0.010069082,69,69,15,70,AQI Data PM10,Weather Data humidity
0.010199426,71,71,15,70,AQI Data PM10,Weather Data humidity
0.010134254,75,75,15,72,AQI Data PM10,Weather Data humidity
0.010199426,79,79,15,73,AQI Data PM10,Weather Data humidity
0.010036496,81,81,14,74,AQI Data PM10,Weather Data humidity
0.010036496,83,83,14,74,AQI Data PM10,Weather Data humidity
0.010036496,85,85,13,74,AQI Data PM10,Weather Data humidity
0.010134254,87,87,13,74,AQI Data PM10,Weather Data humidity
0.01000391,89,89,13,73,AQI Data PM10,Weather Data humidity
0.010101668,91,91,13,74,AQI Data PM10,Weather Data humidity
0.01016684,93,93,13,74,AQI Data PM10,Weather Data humidity
0.01000391,95,95,13,75,AQI Data PM10,Weather Data humidity
0.01000391,26,97,24,27,AQI Data PM10,Weather Data humidity
0.01000391,30,97,24,28,AQI Data PM10,Weather Data humidity
0.01000391,33,97,22,29,AQI Data PM10,Weather Data humidity
0.01000391,34,97,22,48,AQI Data PM10,Weather Data humidity
0.01000391,35,97,21,48,AQI Data PM10,Weather Data humidity
0.01000391,36,97,21,50,AQI Data PM10,Weather Data humidity
0.01000391,38,97,21,51,AQI Data PM10,Weather Data humidity
0.01000391,41,97,21,54,AQI Data PM10,Weather Data humidity
0.01000391,45,97,21,56,AQI Data PM10,Weather Data humidity
0.01000391,53,97,20,60,AQI Data PM10,Weather Data humidity
0.01000391,55,97,19,63,AQI Data PM10,Weather Data humidity
0.01000391,65,97,18,66,AQI Data PM10,Weather Data humidity
0.01000391,67,97,16,66,AQI Data PM10,Weather Data humidity
0.01000391,67,97,69,69,AQI Data PM10,Weather Data humidity
0.01000391,69,97,16,70,AQI Data PM10,Weather Data humidity
0.01000391,73,97,15,70,AQI Data PM10,Weather Data humidity
0.01000391,77,97,15,72,AQI Data PM10,Weather Data humidity
0.01000391,81,97,15,73,AQI Data PM10,Weather Data humidity
0.01000391,83,97,14,73,AQI Data PM10,Weather Data humidity
0.01000391,91,97,14,74,AQI Data PM10,Weather Data humidity
